year,incumbent,state,total,dem,rep
1988,R,AK,200116,72584,119251
1988,R,AL,1378476,549506,815576
1988,R,AR,827738,349237,466578
1988,R,AZ,1171873,454029,702541
1988,R,CA,9887064,4702233,5054917
1988,R,CO,1372394,621453,728177
1988,R,CT,1443394,676584,750241
1988,R,DC,192877,159407,27590
1988,R,DE,249891,108647,139639
1988,R,FL,4302313,1656701,2618885
1988,R,GA,1809672,714792,1081331
1988,R,HI,354461,192364,158625
1988,R,IA,1225614,670557,545355
1988,R,ID,408968,147272,253881
1988,R,IL,4559120,2215940,2310939
1988,R,IN,2168621,860643,1297763
1988,R,KS,993044,422636,554049
1988,R,KY,1322517,580368,734281
1988,R,LA,1628202,717460,883702
1988,R,MA,2632805,1401406,1194644
1988,R,MD,1714358,826304,876167
1988,R,ME,555035,243569,307131
1988,R,MI,3669163,1675783,1965486
1988,R,MN,2096790,1109471,962337
1988,R,MO,2093228,1001619,1084953
1988,R,MS,931527,363921,557890
1988,R,MT,365674,168936,190412
1988,R,NC,2134370,890167,1237258
1988,R,ND,297261,127739,166559
1988,R,NE,662372,259646,398447
1988,R,NH,450525,163696,281537
1988,R,NJ,3099553,1320352,1743192
1988,R,NM,521287,244497,270341
1988,R,NV,350067,132738,206040
1988,R,NY,6485683,3347882,3081871
1988,R,OH,4393699,1939629,2416549
1988,R,OK,1171036,483423,678367
1988,R,OR,1201694,616206,560126
1988,R,PA,4536251,2194944,2300087
1988,R,RI,404620,225123,177761
1988,R,SC,986009,370554,606443
1988,R,SD,312991,145560,165415
1988,R,TN,1636250,679794,947233
1988,R,TX,5427410,2352748,3036829
1988,R,UT,647008,207343,428442
1988,R,VA,2191609,859799,1309162
1988,R,VT,243333,115775,124331
1988,R,WA,1865253,933516,903835
1988,R,WI,2191608,1126794,1047499
1988,R,WV,653311,341016,310065
1988,R,WY,176551,67113,106867
1992,R,AK,258506,78294,102000
1992,R,AL,1688060,690080,804283
1992,R,AR,950653,505823,337324
1992,R,AZ,1487006,543050,572086
1992,R,CA,11131721,5121325,3630574
1992,R,CO,1569180,629681,562850
1992,R,CT,1616332,682318,578313
1992,R,DC,227572,192619,20698
1992,R,DE,289620,126054,102313
1992,R,FL,5314392,2072698,2173310
1992,R,GA,2321133,1008966,995252
1992,R,HI,372842,179310,136822
1992,R,IA,1354607,586353,504891
1992,R,ID,482114,137013,202645
1992,R,IL,5050157,2453350,1734096
1992,R,IN,2305871,848420,989375
1992,R,KS,1157256,390434,449951
1992,R,KY,1492900,665104,617178
1992,R,LA,1790017,815971,733386
1992,R,MA,2773574,1318662,805049
1992,R,MD,1985046,988571,707094
1992,R,ME,679499,263420,206504
1992,R,MI,4274673,1871182,1554940
1992,R,MN,2347948,1020997,747841
1992,R,MO,2391270,1053873,811159
1992,R,MS,981793,400258,487793
1992,R,MT,410583,154507,144207
1992,R,NC,2611850,1114042,1134661
1992,R,ND,308133,99168,136244
1992,R,NE,739283,217344,344346
1992,R,NH,537215,209040,202484
1992,R,NJ,3343594,1436206,1356865
1992,R,NM,569986,261617,212824
1992,R,NV,506318,189148,175828
1992,R,NY,6926925,3444450,2346649
1992,R,OH,4939964,1984942,1894310
1992,R,OK,1390359,473066,592929
